,,Search Results (2016-03-14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tag Number,Product,Zone,Inbound Account,Inbound Load Date,Inbound Gross Weight,Inbound Tare,Inbound Net Weight,Inbound Price Per LB,Inbound Price,Inbound Unit Count,Inbound Price Per Unit,Outbound Account,Outbound Load Date,Outbound Gross Weight,Outbound Tare,Outbound Net Weight,Outbound Price Per LB,Outbound Price,Outbound Unit Count,Outbound Price Per Unit,Comments
,,,,,,,,,,,,,,,,,,,,,,
,10420160067,Shredded Hard Drive W/O Board,,Smart Metals Recycling,"January 04, 2016",2221,55,2166,,0,,,L. Gordon Iron & Metal,"January 04, 2016",2221,55,2166,0.28,606.48,,,
,10420160068,Fans,,Salem Group,"January 04, 2016",1230,60,1170,0.06,70.2,,,Blue Sky Trading,"January 25, 2016",1230,60,1170,0.1,117,,,
,10420160069,Power Supplies (Industrial),,Salem Group,"January 04, 2016",673,35,638,0.22,140.36,,,Wai Mei Dat,"January 12, 2016",673,35,638,0.37,236.06,,,
,10420160070,Good Screen Laptops 296 Ct.,,Smart Metals Recycling,"January 04, 2016",1664,75,1589,,0,,,E Recycling USA,"January 04, 2016",1664,75,1589,,3256,296,11,
,10420160071,Fans,,Salem Group,"January 04, 2016",802,50,752,0.06,45.12,,,Blue Sky Trading,"January 25, 2016",802,50,752,0.1,75.2,,,
,10420160072,Power Supplies (Industrial),,Salem Group,"January 04, 2016",533,60,473,0.22,104.06,,,Wai Mei Dat,"January 04, 2016",533,60,473,0.37,175.01,,,
,10420160073,Fans,,Salem Group,"January 04, 2016",763,65,698,0.06,41.88,,,,,763,65,698,,0,,,
,10420160074,Fans,,Salem Group,"January 04, 2016",776,35,741,0.06,44.46,,,Gordell,"January 28, 2016",778,35,743,0.14,104.02,,,
,10420160075,Fans,,Salem Group,"January 04, 2016",485,50,435,0.06,26.1,,,Gordell,"January 28, 2016",542,60,482,0.14,67.48,,,
,10420160076,Fans,,Salem Group,"January 04, 2016",832,65,767,0.06,46.02,,,Gordell,"January 28, 2016",832,65,767,0.14,107.38,,,
,10420160077,Low Grade Motors,,Salem Group,"January 04, 2016",221,35,186,0.08,14.88,,,L. Gordon Iron & Metal,"January 05, 2016",221,35,186,0.19,35.34,,,
,10420160078,Power Supplies (Industrial),,Salem Group,"January 04, 2016",774,35,739,0.22,162.58,,,Wai Mei Dat,"January 12, 2016",774,35,739,0.37,273.43,,,
,10420160079,Good Screen Laptops 251 Ct.,,Smart Metals Recycling,"January 04, 2016",1547,65,1482,,0,,,E Recycling USA,"January 04, 2016",1547,65,1482,,2761,251,11,
,10420160080,Fans,,Salem Group,"January 04, 2016",735,35,700,0.06,42,,,,,735,35,700,,0,,,
,10420160082,AC Adapters (No Wire),,Salem Group,"January 04, 2016",211,35,176,0.2,35.2,,,Sunrise Metal Recycling,"January 29, 2016",211,35,176,0.31,54.56,,,
,10420160083,Printers,,Smart Metals Recycling,"January 04, 2016",425,70,355,,0,,,E Recycling USA,"January 04, 2016",425,70,355,0.06,21.3,,,
,10420160084,High Grade Boards (Large Networking),,Salem Group,"January 04, 2016",52,10,42,3.5,147,,,,,52,10,42,,0,,,
,10420160085,Printers,,Smart Metals Recycling,"January 04, 2016",398,65,333,,0,,,E Recycling USA,"January 04, 2016",398,65,333,0.06,19.98,,,
,10420160088,Good Screen Laptops 180 Ct.,,Smart Metals Recycling,"January 04, 2016",949,65,884,,0,,,E Recycling USA,"January 04, 2016",949,65,884,,1980,180,11,
,10420160090,Printers,,Smart Metals Recycling,"January 04, 2016",440,65,375,,0,,,E Recycling USA,"January 04, 2016",440,65,375,0.06,22.5,,,
,10420160093,Good Screen Laptops 262 Ct.,,Smart Metals Recycling,"January 04, 2016",1629,65,1564,,0,,,E Recycling USA,"January 04, 2016",1629,65,1564,,2882,262,11,
,10420160096,Printers,,Smart Metals Recycling,"January 04, 2016",460,65,395,,0,,,E Recycling USA,"January 04, 2016",460,65,395,0.06,23.7,,,
,10420160098,Printers,,Smart Metals Recycling,"January 04, 2016",424,65,359,,0,,,E Recycling USA,"January 04, 2016",424,65,359,0.06,21.54,,,
,10420160099,Printers,,Smart Metals Recycling,"January 04, 2016",469,65,404,,0,,,E Recycling USA,"January 04, 2016",469,65,404,0.06,24.24,,,
,10420160100,Printers,,Smart Metals Recycling,"January 04, 2016",596,65,531,,0,,,E Recycling USA,"January 04, 2016",596,65,531,0.06,31.86,,,
,10420160101,Printers,,Smart Metals Recycling,"January 04, 2016",529,65,464,,0,,,E Recycling USA,"January 04, 2016",529,65,464,0.06,27.84,,,
,10420160102,Printers,,Smart Metals Recycling,"January 04, 2016",352,65,287,,0,,,E Recycling USA,"January 04, 2016",352,65,287,0.06,17.22,,,
,10420160103,Printers,,Smart Metals Recycling,"January 04, 2016",422,65,357,,0,,,E Recycling USA,"January 04, 2016",422,65,357,0.06,21.42,,,
,10420160104,Printers,,Smart Metals Recycling,"January 04, 2016",473,65,408,,0,,,E Recycling USA,"January 04, 2016",473,65,408,0.06,24.48,,,
,10420160105,Printers,,Smart Metals Recycling,"January 04, 2016",365,65,300,,0,,,E Recycling USA,"January 04, 2016",365,65,300,0.06,18,,,
,10420160106,Printers,,Smart Metals Recycling,"January 04, 2016",480,65,415,,0,,,E Recycling USA,"January 04, 2016",480,65,415,0.06,24.9,,,
,10420160107,Printers,,Smart Metals Recycling,"January 04, 2016",275,60,215,,0,,,E Recycling USA,"January 04, 2016",275,60,215,0.06,12.9,,,
,10420160108,Printers,,Smart Metals Recycling,"January 04, 2016",368,65,303,,0,,,E Recycling USA,"January 04, 2016",368,65,303,0.06,18.18,,,
,10420160109,Printers,,Smart Metals Recycling,"January 04, 2016",462,65,397,,0,,,E Recycling USA,"January 04, 2016",462,65,397,0.06,23.82,,,
,10420160110,Printers,,Smart Metals Recycling,"January 04, 2016",412,65,347,,0,,,E Recycling USA,"January 04, 2016",412,65,347,0.06,20.82,,,
,10420160111,Printers,,Smart Metals Recycling,"January 04, 2016",285,65,220,,0,,,E Recycling USA,"January 04, 2016",285,65,220,0.06,13.2,,,
,10420160112,Printers,,Smart Metals Recycling,"January 04, 2016",477,65,412,,0,,,E Recycling USA,"January 04, 2016",477,65,412,0.06,24.72,,,
,10420160113,Power Supplies (Wire),,Smart Metals Recycling,"January 04, 2016",880,65,815,,0,,,Wai Mei Dat,"January 04, 2016",880,65,815,0.31,252.65,,,
,10420160114,CRT TVs,,Smart Metals Recycling,"January 04, 2016",649,35,614,,0,,,CompuPoint,"January 04, 2016",649,35,614,-0.09,-55.26,,,
,10420160115,Shredded Steel,Outside Warehouse,Smart Metals Recycling,"January 04, 2016",4231,65,4166,,0,,,,,4231,65,4166,,0,,,
,10420160116,CRT TVs,,Smart Metals Recycling,"January 04, 2016",337,50,287,,0,,,CompuPoint,"January 04, 2016",337,50,287,-0.09,-25.83,,,
,10420160117,Shredded Steel,Outside Warehouse,Smart Metals Recycling,"January 04, 2016",2725,65,2660,,0,,,,,2725,65,2660,,0,,,
